"name","group","party","birth_date","birth_place","link_email","link_twitt","link_fb","link_instagram","link_linkedin","link_website","link_youtube","link_telegram","link_blog","link_europeanblog"
"David Mcallister","Group of the European People's Party (Christian Democrats)","Germany
						 
							 - Christlich Demokratische Union Deutschlands (Germany)","1971-01-12",NA,"ue[dot]aporue.lraporue[at]retsillacm.divad","https://x.com/davidmcallister","https://www.facebook.com/david.mcallister","https://www.instagram.com/davidmcallister_mep/",NA,"https://www.david-mcallister.de/",NA,NA,NA,NA
"Jaak Madison","European Conservatives and Reformists Group","Estonia
						 
							 - Eesti Keskerakond (Estonia)","1991-04-22","Paide","ue[dot]aporue.lraporue[at]nosidam.kaaj","https://twitter.com/jaakmadison","https://www.facebook.com/madisonjaak/","https://www.instagram.com/jaakmadison/",NA,"https://jaakmadison.ee/",NA,NA,NA,NA
"Cristina Maestre","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Spain
						 
							 - Partido Socialista Obrero Español (Spain)","1975-07-27","Ciudad Real","ue[dot]aporue.lraporue[at]ertseam.anitsirc","https://twitter.com/crismaestre","https://www.facebook.com/cristina.maestremartin",NA,NA,NA,NA,NA,NA,NA
"Lara Magoni","European Conservatives and Reformists Group","Italy
						 
							 - FRATELLI D' ITALIA (Italy)","1969-01-29","Alzano Lombardo (BG)","ue[dot]aporue.lraporue[at]inogam.aral",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Péter Magyar","Group of the European People's Party (Christian Democrats)","Hungary
						 
							 - Tisztelet és Szabadság Párt (Hungary)","1981-03-16","Budapest","ue[dot]aporue.lraporue[at]raygam.retep","https://x.com/magyarpeter102","https://www.facebook.com/peter.magyar.102","https://www.instagram.com/magyar_peter_official/",NA,NA,"https://www.youtube.com/@magyarpeterofficial",NA,NA,NA
"Marit Maij","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Netherlands
						 
							 - Partij van de Arbeid (Netherlands)","1972-01-16","Apeldoorn","ue[dot]aporue.lraporue[at]jiam.tiram",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marlena Maląg","European Conservatives and Reformists Group","Poland
						 
							 - Prawo i Sprawiedliwość (Poland)",NA,NA,"ue[dot]aporue.lraporue[at]galam.anelram","https://twitter.com/MarlenaMalag?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","https://www.facebook.com/MalagMarlena/?locale=pl_PL",NA,NA,NA,NA,NA,NA,NA
"Claudiu Manda","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Romania
						 
							 - Partidul Social Democrat (Romania)","1975-12-20","Craiova","ue[dot]aporue.lraporue[at]adnam.uidualc-nailui",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lukas Mandl","Group of the European People's Party (Christian Democrats)","Austria
						 
							 - Österreichische Volkspartei (Austria)","1979-07-12","Wien","ue[dot]aporue.lraporue[at]ldnam.sakul","https://twitter.com/lukasmandl","https://www.facebook.com/lukasmandl.eu","https://www.instagram.com/lukasmandl/","https://www.linkedin.com/in/mandl/","http://www.lukasmandl.eu/",NA,NA,NA,NA
"Yannis Maniatis","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Greece
						 
							 - PASOK-KINAL (Greece)",NA,NA,"ue[dot]aporue.lraporue[at]sitainam.sinnaoi","https://x.com/Yannis_Maniatis","https://www.facebook.com/maniatis.yiannis/","https://www.instagram.com/yannis_maniatis/?igsh=MTE4YWpkbGFrcmFqdg%3D%3D","https://www.linkedin.com/in/yannismaniatis",NA,NA,NA,NA,NA
"Mario Mantovani","European Conservatives and Reformists Group","Italy
						 
							 - FRATELLI D' ITALIA (Italy)","1950-07-28","Arconate","ue[dot]aporue.lraporue[at]inavotnam.oiram",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pierfrancesco Maran","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Italy
						 
							 - Partito Democratico (Italy)","1980-05-27","Milano","ue[dot]aporue.lraporue[at]naram.ocsecnarfreip","https://x.com/PierMaran","https://www.facebook.com/Maran.Pierfrancesco","https://www.instagram.com/piermaran/","https://www.linkedin.com/in/pierfrancescomaran/","https://pierfrancescomaran.com/",NA,NA,NA,NA
"Jagna Marczułajtis-Walczak","Group of the European People's Party (Christian Democrats)","Poland
						 
							 - Platforma Obywatelska (Poland)","1978-12-15","Zakopane","ue[dot]aporue.lraporue[at]kazclaw-sitjaluzcram.angaj","https://x.com/JagnaMarczulajt","https://www.facebook.com/Jagna.Marczulajtis.Walczak","https://www.instagram.com/jagnamarczulajtiswalczak",NA,"https://marczulajtiswalczak.pl",NA,NA,NA,NA
"Marion Maréchal","European Conservatives and Reformists Group","France
						 
							 - Identité Libertés (France)","1989-12-10","Saint-Germain-en-Laye","ue[dot]aporue.lraporue[at]lahceram.noiram","https://x.com/marionmarechal?s=21&t=ccnHk1Sl0UNVfnEK-BIADw","https://m.facebook.com/MarionMarechalOff/","https://www.instagram.com/marionmarechal_?igsh=NDR0aGZ5eXo0MG5m",NA,NA,NA,"https://t.me/MarionMarechal",NA,NA
"Thierry Mariani","Patriots for Europe Group","France
						 
							 - Rassemblement national (France)","1958-08-08","ORANGE","ue[dot]aporue.lraporue[at]inairam.yrreiht","https://twitter.com/thierrymariani","https://www.facebook.com/ThierryMariani/","https://www.instagram.com/mariani.thierry/",NA,"http://www.thierrymariani.com/",NA,NA,NA,NA
"Ignazio Roberto Marino","Group of the Greens/European Free Alliance","Italy
						 
							 - Independent (Italy)","1955-03-10","Genova","ue[dot]aporue.lraporue[at]oniram.oizangi","https://twitter.com/ignaziomarino","https://www.facebook.com/ignaziomarino","https://www.instagram.com/ignaziomarino","https://it.linkedin.com/in/ignazio-marino-34782615","https://www.ignaziomarino.it/elezioni-europee-2024.html",NA,NA,NA,NA
"Erik Marquardt","Group of the Greens/European Free Alliance","Germany
						 
							 - Bündnis 90/Die Grünen (Germany)","1987-10-20","Neubrandenburg","ue[dot]aporue.lraporue[at]tdrauqram.kire","https://twitter.com/erikmarquardt","https://www.facebook.com/ErikMarquardtde/","https://www.instagram.com/erikmarquardt/",NA,"https://erik-marquardt.eu/",NA,NA,NA,NA
"Jorge Martín Frías","Patriots for Europe Group","Spain
						 
							 - VOX (Spain)","1980-04-08","Madrid","ue[dot]aporue.lraporue[at]sairfnitram.egroj",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Catarina Martins","The Left group in the European Parliament - GUE/NGL","Portugal
						 
							 - Bloco de Esquerda (Portugal)","1973-09-07","Porto","ue[dot]aporue.lraporue[at]snitram.aniratac",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fulvio Martusciello","Group of the European People's Party (Christian Democrats)","Italy
						 
							 - Forza Italia (Italy)","1968-05-25","Napoli","ue[dot]aporue.lraporue[at]olleicsutram.oivluf","https://twitter.com/fulviomartuscie","https://www.facebook.com/MartuscielloFulvio",NA,"https://www.linkedin.com/in/fulviomartusciello/","http://www.fulviomartusciello.com/","https://www.youtube.com/channel/UCmmsrY608ib3Z13YTyR-hwg?disable_polymer=true",NA,NA,NA
"Vicent Marzà Ibáñez","Group of the Greens/European Free Alliance","Spain
						 
							 - Compromís (Spain)","1983-03-03","Castelló de la Plana","ue[dot]aporue.lraporue[at]zenabiazram.tneciv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gabriel Mato","Group of the European People's Party (Christian Democrats)","Spain
						 
							 - Partido Popular (Spain)","1961-04-29","Madrid","ue[dot]aporue.lraporue[at]otam.leirbag","https://twitter.com/GabrielMatoA","https://www.facebook.com/gabrielmatoadrover/","https://www.instagram.com/gabrielmatoadrover/",NA,"http://www.gabrielmato.com/","https://www.youtube.com/@gabrielmatoadrover",NA,NA,NA
"Sara Matthieu","Group of the Greens/European Free Alliance","Belgium
						 
							 - Groen (Belgium)","1981-05-21","Aalst","ue[dot]aporue.lraporue[at]ueihttam.aras","https://twitter.com/msaraswati","https://www.facebook.com/saraswati.matthieu","https://www.instagram.com/sara__matthieu/",NA,"https://www.saramatthieu.be/",NA,NA,NA,NA
"Costas Mavrides","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Cyprus
						 
							 - Democratic Party (Cyprus)","1962-05-27","Kato Dhikomo","ue[dot]aporue.lraporue[at]sedirvam.satsoc","https://twitter.com/MavridesCostas","https://facebook.com/cmavrides/","https://www.instagram.com/costas_mavrides/?igsh=bGRoY3hpeXo5cTBr&utm_source=qr",NA,NA,NA,NA,NA,NA
"Eva Maydell","Group of the European People's Party (Christian Democrats)","Bulgaria
						 
							 - Citizens for European Development of Bulgaria (Bulgaria)","1986-01-26","Sofia","ue[dot]aporue.lraporue[at]lledyam.ave","https://twitter.com/EvaMaydell","https://www.facebook.com/EvaMaydell","https://www.instagram.com/evamaydell/?hl=en",NA,"http://evamaydell.eu/",NA,NA,NA,NA
"Georg Mayer","Patriots for Europe Group","Austria
						 
							 - Freiheitliche Partei Österreichs (Austria)",NA,NA,"ue[dot]aporue.lraporue[at]reyam.groeg",NA,"https://www.facebook.com/georgmayermep/","https://www.instagram.com/georgmayermep/?hl=de",NA,NA,NA,NA,NA,NA
"Milan Mazurek","Non-attached Members","Slovakia
						 
							 - Hnutie Republika (Slovakia)","1994-01-24",NA,"ue[dot]aporue.lraporue[at]keruzam.nalim",NA,"https://m.facebook.com/MilanMazurek.Republika/","https://www.instagram.com/milanmazurek_republika/?igsh=MWVva2J3aWEyeDRjYg%3D%3D",NA,NA,NA,"https://t.me/milanmazurek",NA,NA
"Liudas Mažylis","Group of the European People's Party (Christian Democrats)","Lithuania",NA,NA,"ue[dot]aporue.lraporue[at]silyzam.saduil",NA,NA,NA,NA,"http://elpnariai.lt/",NA,NA,NA,"https://liudasmazylis.lt/"
"Michael Mcnamara","Renew Europe Group","Ireland
						 
							 - Independent (Ireland)","1974-03-01","Limerick","ue[dot]aporue.lraporue[at]aramancm.leahcim",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nora Mebarek","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","France
						 
							 - Parti socialiste (France)","1972-07-22","Port-Saint-Louis-du-Rhône","ue[dot]aporue.lraporue[at]kerabem.aron","https://x.com/MebarekNora","https://www.facebook.com/people/Nora-Mebarek/100057724462997/","https://www.instagram.com/noramebarek/",NA,"https://nora-mebarek.eu",NA,NA,NA,NA
"Alexandra Mehnert","Group of the European People's Party (Christian Democrats)","Germany
						 
							 - Christlich Demokratische Union Deutschlands (Germany)","1974-08-06","Magdeburg","ue[dot]aporue.lraporue[at]trenhem.ardnaxela",NA,"https://www.facebook.com/mehnert.europa/","https://www.instagram.com/mehnert.europa/",NA,NA,NA,NA,NA,NA
"Vangelis Meimarakis","Group of the European People's Party (Christian Democrats)","Greece
						 
							 - Nea Demokratia (Greece)","1953-12-14","ATHINA","ue[dot]aporue.lraporue[at]sikaramiem.solegnave","https://twitter.com/v_meimarakis","https://www.facebook.com/vmeimarakis/","https://www.instagram.com/vmeimarakis/",NA,"http://www.meimarakis.gr/",NA,NA,NA,NA
"Eleonora Meleti","Group of the European People's Party (Christian Democrats)","Greece
						 
							 - Nea Demokratia (Greece)",NA,NA,"ue[dot]aporue.lraporue[at]itelem.aronoele",NA,NA,"https://www.instagram.com/nonoram/",NA,NA,NA,NA,NA,NA
"Ana Catarina Mendes","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Portugal
						 
							 - Partido Socialista (Portugal)","1973-01-14","Coimbra","ue[dot]aporue.lraporue[at]sednem.aniratacana","https://x.com/acmendes73",NA,"https://www.instagram.com/anacatarinamendes/",NA,NA,NA,NA,NA,NA
"Idoia Mendia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Spain
						 
							 - Partido Socialista Obrero Español (Spain)",NA,NA,"ue[dot]aporue.lraporue[at]aidnem.aiodi","https://x.com/idoiamendia",NA,"https://www.instagram.com/IdoiaMendia/","https://www.linkedin.com/in/idoia-mendia-cueva-45930340/",NA,NA,NA,NA,NA
"Verena Mertens","Group of the European People's Party (Christian Democrats)","Germany
						 
							 - Christlich Demokratische Union Deutschlands (Germany)","1981-11-20","Salzkotten","ue[dot]aporue.lraporue[at]snetrem.anerev",NA,"https://www.facebook.com/verena.mertens.owl","https://www.instagram.com/verena_mertens_pb/","https://www.linkedin.com/in/verena-mertens-474815272/","https://www.verena-mertens.de/",NA,NA,NA,NA
"Marina Mesure","The Left group in the European Parliament - GUE/NGL","France
						 
							 - La France Insoumise (France)","1989-07-12","Marseille","ue[dot]aporue.lraporue[at]erusem.aniram",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Roberta Metsola","Group of the European People's Party (Christian Democrats)","Malta
						 
							 - Partit Nazzjonalista (Malta)","1979-01-18","St Julians","ue[dot]aporue.lraporue[at]alostem.atrebor","https://twitter.com/RobertaMetsola","https://www.facebook.com/roberta.metsola","https://www.instagram.com/roberta.metsola/",NA,"http://robertametsola.eu/",NA,NA,NA,NA
"Tilly Metz","Group of the Greens/European Free Alliance","Luxembourg
						 
							 - Déi Gréng - Les Verts (Luxembourg)","1967-05-26","Luxembourg","ue[dot]aporue.lraporue[at]ztem.yllit","https://twitter.com/MetzTilly","https://www.facebook.com/TillyMetzMEP/","https://www.instagram.com/metztilly/",NA,"https://tillymetz.lu/",NA,NA,NA,NA
"Sven Mikser","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Estonia
						 
							 - Sotsiaaldemokraatlik Erakond (Estonia)","1973-11-08","Tartu","ue[dot]aporue.lraporue[at]reskim.nevs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Giuseppe Milazzo","European Conservatives and Reformists Group","Italy
						 
							 - FRATELLI D' ITALIA (Italy)","1977-08-21","Palermo","ue[dot]aporue.lraporue[at]ozzalim.eppesuig","https://twitter.com/giuseppemilaz11","https://www.facebook.com/giuseppe.milazzo.927",NA,NA,NA,NA,NA,NA,NA
"Francisco José Millán Mon","Group of the European People's Party (Christian Democrats)","Spain
						 
							 - Partido Popular (Spain)","1955-03-08","Pontevedra","ue[dot]aporue.lraporue[at]nomnallim.ocsicnarf","https://twitter.com/PacoMillanMon","https://www.facebook.com/Francisco-Mill%C3%A1n-Mon-101795278943999","https://www.instagram.com/franciscomillanmon/","https://www.linkedin.com/in/francisco-mill%C3%A1n-mon-91a130222/",NA,NA,NA,NA,NA
"Nikola Minchev","Renew Europe Group","Bulgaria
						 
							 - We continue the change – Democratic Bulgaria (Bulgaria)",NA,NA,"ue[dot]aporue.lraporue[at]vehcnim.alokin",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ana Miranda Paz","Group of the Greens/European Free Alliance","Spain
						 
							 - Bloque Nacionalista Galego (Spain)","1971-05-02","Cuntis","ue[dot]aporue.lraporue[at]adnarim.ana","https://twitter.com/anamirandapaz",NA,NA,NA,NA,NA,NA,NA,NA
"Csaba Molnár","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Hungary
						 
							 - Demokratikus Koalíció (Hungary)","1975-12-04","Csorna","ue[dot]aporue.lraporue[at]ranlom.abasc",NA,"https://www.facebook.com/drmolnarcsaba",NA,NA,NA,NA,NA,NA,NA
"Irene Montero","The Left group in the European Parliament - GUE/NGL","Spain
						 
							 - PODEMOS (Spain)","1988-02-13","Madrid","ue[dot]aporue.lraporue[at]oretnom.eneri",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dolors Montserrat","Group of the European People's Party (Christian Democrats)","Spain
						 
							 - Partido Popular (Spain)","1973-09-18","Barcelona","ue[dot]aporue.lraporue[at]tarrestnom.d","https://twitter.com/dolorsmm","https://www.facebook.com/dolorsmontserratoficial/","https://www.instagram.com/dolorsmontserrat_","https://es.linkedin.com/in/dolors-montserrat-75206313","http://www.pp.es/dolors-montserrat",NA,NA,NA,NA
"Carolina Morace","The Left group in the European Parliament - GUE/NGL","Italy
						 
							 - Movimento 5 Stelle (Italy)","1964-02-05","Venezia","ue[dot]aporue.lraporue[at]ecarom.anilorac","https://www.twitter.com/CarolinaMorace",NA,NA,NA,NA,NA,NA,NA,NA
"Nadine Morano","Group of the European People's Party (Christian Democrats)","France
						 
							 - Les Républicains (France)","1963-11-06","Nancy","ue[dot]aporue.lraporue[at]onarom.enidan","https://twitter.com/nadine__morano","https://www.facebook.com/Nadine.Morano","https://www.instagram.com/nadinemorano/",NA,"http://www.nadinemorano.fr/",NA,NA,NA,NA
"Letizia Moratti","Group of the European People's Party (Christian Democrats)","Italy
						 
							 - Forza Italia (Italy)","1949-11-26","Milan","ue[dot]aporue.lraporue[at]ittarom.aizitel","https://x.com/letiziamoratti",NA,"https://www.instagram.com/letiziamoratti/",NA,NA,NA,NA,NA,NA
"Tiago Moreira De Sá","Patriots for Europe Group","Portugal
						 
							 - Chega (Portugal)","1971-01-12","Lisbon","ue[dot]aporue.lraporue[at]asedarieromagievatomad.ogait",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Javier Moreno Sánchez","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Spain
						 
							 - Partido Socialista Obrero Español (Spain)","1965-03-12","Ginebra (Suiza)","ue[dot]aporue.lraporue[at]zehcnasonerom.reivaj",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alessandra Moretti","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Italy
						 
							 - Partito Democratico (Italy)",NA,NA,"ue[dot]aporue.lraporue[at]itterom.ardnassela","https://twitter.com/ale_moretti","https://www.facebook.com/alessandramorettiPD",NA,NA,"https://alessandramoretti.eu/",NA,NA,NA,NA
"Dan-Ştefan Motreanu","Group of the European People's Party (Christian Democrats)","Romania
						 
							 - Partidul Naţional Liberal (Romania)","1970-09-11","Orastie","ue[dot]aporue.lraporue[at]unaertom.nafets-nad","https://x.com/Dan_Motreanu",NA,"https://www.instagram.com/dan.motreanu/",NA,NA,NA,NA,NA,NA
"Arkadiusz Mularczyk","European Conservatives and Reformists Group","Poland
						 
							 - Prawo i Sprawiedliwość (Poland)","1971-02-04","Racibórz","ue[dot]aporue.lraporue[at]kyzcralum.zsuidakra","https://x.com/arekmularczyk?lang=en","https://www.facebook.com/arkadiusz.mularczyk/?locale=pl_PL",NA,NA,NA,NA,NA,NA,NA
"Piotr Müller","European Conservatives and Reformists Group","Poland
						 
							 - Prawo i Sprawiedliwość (Poland)","1989-05-02","Słupsk","ue[dot]aporue.lraporue[at]eciffo-rellum.rtoip","https://twitter.com/PiotrMuller","https://www.facebook.com/piotr.muller",NA,NA,"https://piotrmuller.pl/",NA,NA,NA,NA
"Ciaran Mullooly","Renew Europe Group","Ireland
						 
							 - Independent (Ireland)","1966-09-04","Longford","ue[dot]aporue.lraporue[at]yloollum.naraic",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siegfried Mureşan","Group of the European People's Party (Christian Democrats)","Romania
						 
							 - Partidul Naţional Liberal (Romania)","1981-09-20","Hunedoara","ue[dot]aporue.lraporue[at]naserum.deirfgeis","https://twitter.com/SMuresan","https://www.facebook.com/SiegfriedMEP","https://www.instagram.com/siegfriedmuresan",NA,"http://www.siegfriedmuresan.eu/",NA,NA,NA,NA
"Ştefan Muşoiu","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Romania
						 
							 - Partidul Social Democrat (Romania)","1975-06-16","București","ue[dot]aporue.lraporue[at]uiosum.nafets",NA,"https://www.facebook.com/Stefan.Musoiu0616/",NA,"https://ro.linkedin.com/in/stefan-musoiu-34691342?trk=people-guest_people_search-card",NA,NA,NA,NA,NA
"Jana Nagyová","Patriots for Europe Group","Czechia
						 
							 - ANO 2011 (Czechia)","1970-09-26","Kosice","ue[dot]aporue.lraporue[at]avoygan.anaj",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dario Nardella","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Italy
						 
							 - Partito Democratico (Italy)","1975-11-20","Torre del Greco (Na)","ue[dot]aporue.lraporue[at]alledran.oirad","https://www.x.com/DarioNardella","https://www.facebook.com/darionardella","https://www.instagram.com/dario_nardella",NA,"http://www.darionardella.it",NA,NA,NA,NA
"Fernando Navarrete Rojas","Group of the European People's Party (Christian Democrats)","Spain
						 
							 - Partido Popular (Spain)","1976-01-24","Madrid","ue[dot]aporue.lraporue[at]eterravan.odnanref",NA,NA,"https://www.instagram.com/fernando_navarrete_rojas/",NA,NA,NA,NA,NA,NA
"Victor Negrescu","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Romania
						 
							 - Partidul Social Democrat (Romania)",NA,NA,"ue[dot]aporue.lraporue[at]ucsergen.rotciv","https://twitter.com/negrescuvictor","https://it-it.facebook.com/victornegrescu/","https://www.instagram.com/victor_negrescu/",NA,NA,NA,NA,NA,NA
"Matjaž Nemec","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Slovenia
						 
							 - Socialni demokrati (Slovenia)","1980-04-10","Šempeter pri Gorici","ue[dot]aporue.lraporue[at]cemen.zajtam","https://twitter.com/matjanemec","https://www.facebook.com/MatjazNemecSD/events","https://www.instagram.com/matjaznemec/",NA,"https://www.matjaz-nemec.si/sl/",NA,NA,NA,NA
"Danuše Nerudová","Group of the European People's Party (Christian Democrats)","Czechia
						 
							 - Starostové a nezávisli (Czechia)","1979-01-04","Brno","ue[dot]aporue.lraporue[at]avoduren.esunad","https://x.com/danusenerudova",NA,"https://www.instagram.com/danusenerudova/",NA,NA,NA,NA,NA,NA
"Denis Nesci","European Conservatives and Reformists Group","Italy
						 
							 - FRATELLI D' ITALIA (Italy)","1981-07-25","Polistena","ue[dot]aporue.lraporue[at]icsen.sined",NA,NA,NA,NA,"http://www.denisnesci.it/",NA,NA,NA,NA
"Hans Neuhoff","Europe of Sovereign Nations Group","Germany
						 
							 - Alternative für Deutschland (Germany)","1959-01-10","Bonn","ue[dot]aporue.lraporue[at]ffohuen.snah",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hannah Neumann","Group of the Greens/European Free Alliance","Germany
						 
							 - Bündnis 90/Die Grünen (Germany)","1984-04-03","Speyer","ue[dot]aporue.lraporue[at]nnamuen.hannah","https://twitter.com/HNeumannMEP","https://www.facebook.com/HNeumannMEP/","https://www.instagram.com/hneumannmep/",NA,"https://hannahneumann.eu/",NA,NA,NA,NA
"Elena Nevado Del Campo","Group of the European People's Party (Christian Democrats)","Spain
						 
							 - Partido Popular (Spain)","1967-01-26","Cáceres","ue[dot]aporue.lraporue[at]opmacledodaven.anele","https://x.com/nevado_campo",NA,"https://www.instagram.com/elenanevadodc/",NA,NA,NA,NA,NA,NA
"Dan Nica","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Romania
						 
							 - Partidul Social Democrat (Romania)","1960-07-02","Panciu","ue[dot]aporue.lraporue[at]acin.nad",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angelika Niebler","Group of the European People's Party (Christian Democrats)","Germany
						 
							 - Christlich-Soziale Union in Bayern e.V. (Germany)","1963-02-18","München","ue[dot]aporue.lraporue[at]relbein.akilegna","https://twitter.com/ANiebler","https://www.facebook.com/aniebler","https://www.instagram.com/angelika.niebler",NA,"http://www.angelika-niebler.de/","https://www.youtube.com/user/AngelikaNiebler",NA,NA,NA
"Luděk Niedermayer","Group of the European People's Party (Christian Democrats)","Czechia
						 
							 - TOP 09 a Starostové (Czechia)","1966-03-13","Brno","ue[dot]aporue.lraporue[at]reyamredein.kedul","https://twitter.com/LudekNie","https://www.facebook.com/Niedermayer.Ludek","https://www.instagram.com/ludekniedermayer/",NA,"https://www.niedermayer.cz/",NA,NA,NA,NA
"Ville Niinistö","Group of the Greens/European Free Alliance","Finland
						 
							 - Vihreä liitto (Finland)","1976-07-30","Turku","ue[dot]aporue.lraporue[at]otsiniin.elliv","https://www.twitter.com/villeniinisto","https://www.facebook.com/niinistoville","https://www.instagram.com/villeniinisto",NA,"https://www.villeniinisto.fi",NA,NA,NA,NA
"Lefteris Nikolaou-Alavanos","Non-attached Members","Greece
						 
							 - Communist Party of Greece (Greece)","1985-02-07","Athens","ue[dot]aporue.lraporue[at]uoalokin.siretfel",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aleksandar Nikolic","Patriots for Europe Group","France
						 
							 - Rassemblement national (France)","1986-10-04","La Garenne-Colombes","ue[dot]aporue.lraporue[at]cilokin.radnaskela","https://x.com/al_nikolic?s=21&t=1MZBMbr04kiT-InP3qDnGg","https://m.facebook.com/aleksandarnikolic28/","https://www.instagram.com/aleksandar_nikolic28?igsh=NmU2MXZnY3Iwand4",NA,NA,NA,NA,NA,NA
"Cynthia Ní Mhurchú","Renew Europe Group","Ireland
						 
							 - Fianna Fáil Party (Ireland)",NA,NA,"ue[dot]aporue.lraporue[at]uhcruhmin.aihtnyc",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maria Noichl","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Germany
						 
							 - Sozialdemokratische Partei Deutschlands (Germany)","1967-01-09","Rosenheim","ue[dot]aporue.lraporue[at]lhcion.airam","https://x.com/MariaNoichl","https://www.facebook.com/noichl.eu","https://www.instagram.com/mnoichlmdep/?hl=de",NA,"http://maria-noichl.eu/","https://www.youtube.com/@marianoichl5004",NA,NA,NA
"Rasmus Nordqvist","Group of the Greens/European Free Alliance","Denmark
						 
							 - Socialistisk Folkeparti (Denmark)","1975-07-18","Copenhagen","ue[dot]aporue.lraporue[at]tsivqdron.sumsar",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrey Novakov","Group of the European People's Party (Christian Democrats)","Bulgaria
						 
							 - Citizens for European Development of Bulgaria (Bulgaria)","1988-07-07","PAZARDZHIK","ue[dot]aporue.lraporue[at]vokavon.yerdna","https://twitter.com/andreynovakov","https://www.facebook.com/andrey.novakov","https://www.instagram.com/novakov.a/",NA,"http://andreynovakov.eu/",NA,NA,NA,NA
"Mirosława Nykiel","Group of the European People's Party (Christian Democrats)","Poland
						 
							 - Platforma Obywatelska (Poland)",NA,NA,"ue[dot]aporue.lraporue[at]leikyn.awalsorim","https://x.com/MiroslawaNykiel",NA,"https://www.instagram.com/nykiel_miroslawa/",NA,NA,NA,NA,NA,NA
"Daniel Obajtek","European Conservatives and Reformists Group","Poland
						 
							 - Prawo i Sprawiedliwość (Poland)","1976-01-02","Myslenice","ue[dot]aporue.lraporue[at]ketjabo.leinad",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ľudovít Ódor","Renew Europe Group","Slovakia
						 
							 - Progresívne Slovensko (Slovakia)","1976-07-02","Komárno","ue[dot]aporue.lraporue[at]rodo.tivodul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jan-Christoph Oetjen","Renew Europe Group","Germany
						 
							 - Freie Demokratische Partei (Germany)","1978-02-21","Rotenburg","ue[dot]aporue.lraporue[at]nejteo.hpotsirhc-naj","https://twitter.com/jcoetjen","https://www.facebook.com/Oetjen.Jan.Christoph/",NA,NA,"https://www.jcoetjen.de",NA,NA,NA,NA
"Maria Ohisalo","Group of the Greens/European Free Alliance","Finland
						 
							 - Vihreä liitto (Finland)",NA,NA,"ue[dot]aporue.lraporue[at]olasiho.airam","https://x.com/mariaohisalo","https://www.facebook.com/OhisaloMaria","https://instagram.com/mariaohisalo","https://www.linkedin.com/in/mariaohisalo","https://www.mariaohisalo.fi",NA,NA,NA,NA
"João Oliveira","The Left group in the European Parliament - GUE/NGL","Portugal
						 
							 - Partido Comunista Português (Portugal)","1979-07-09","Évora","ue[dot]aporue.lraporue[at]arievilo.oaoj",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Philippe Olivier","Patriots for Europe Group","France
						 
							 - Rassemblement national (France)","1961-08-30","Juvisy sur Orge","ue[dot]aporue.lraporue[at]reivilo.eppilihp",NA,NA,NA,NA,NA,NA,NA,NA,NA
